abase|v.降低
abasement|n.降低
abash|vt.使局促不安,使困窘
abashed|adj.不安的,窘迫的
abate|vt.使(数量、程度等)减少,减轻,除去,缓和,打折扣vi.(数量、程度等)减少,减轻,失效,缓和,(法令等)被废除
abattoir|n.<法>屠宰场,(拳击,摔跤,斗牛等的)角斗场
abbess|n.女修道院院长,女庵主持
abbey|n.修道院,修道士（总称）
abbot|n.修道院,修道士的总称
abbreviate|v.缩写,缩短,简化,简写成,缩写为
abbreviation|n.缩写,缩写词
abdicate|v.退位,放弃(职位,权力等)
abdication|n.退位,让位
abdomen|n.腹,腹部
abdominal|adj.腹部的
abdominally|腹
abduct|vt.诱拐,绑架
abduction|n.诱拐n.诱导
abductor|n.诱拐者
abed|adv.在床上,卧病在床
aberrant|adj.异常的
aberration|n.失常
abet|vt.教唆,煽动,帮助,支持
abeyance|n.暂时无效,中止,归属待定
abhor|vt.憎恶,痛恨
abhorrence|n.痛恨,憎恶
abhorrent|adj.可恶的,格格不入的
abidance|n.持续,遵守,居住
abide|vi.坚持,遵守vt.忍受,容忍
abiding|v.容忍adj.持久的
